Longitude;Latitude;Diplodus_sargus_sargus;Mullus_surmuletus
-1.79;36.61;0;0
-1.79;36.71;0;0
-1.79;36.81;0;0
-1.79;36.91;0;0
-1.79;37.01;0;0
-1.79;37.11;1;1
-1.79;37.21;1;1
-1.79;37.31;1;1
-1.69;35.11;1;1
-1.69;35.21;0;1
-1.69;35.31;0;0
-1.69;35.41;0;0
-1.69;35.51;0;0
-1.69;35.61;0;0
-1.69;35.71;0;0
-1.69;35.81;0;0
-1.69;35.91;0;0
-1.69;36.01;0;0
-1.69;36.11;0;0
-1.69;36.21;0;0
-1.69;36.31;0;0
-1.69;36.41;0;0
-1.69;36.51;0;0
-1.69;36.61;0;0
-1.69;36.71;0;0
-1.69;36.81;0;0
-1.69;36.91;0;0
-1.69;37.01;0;0
-1.69;37.11;0;0
-1.69;37.21;0;1
-1.69;37.31;1;1
-1.69;37.41;1;1
-1.59;35.21;1;1
-1.59;35.31;0;1
-1.59;35.41;0;0
-1.59;35.51;0;0
-1.59;35.61;0;0
-1.59;35.71;0;0
-1.59;35.81;0;0
-1.59;35.91;0;0
-1.59;36.01;0;0
-1.59;36.11;0;0
-1.59;36.21;0;0
-1.59;36.31;0;0
-1.59;36.41;0;0
-1.59;36.51;0;0
-1.59;36.61;0;0
-1.59;36.71;0;0
-1.59;36.81;0;0
-1.59;36.91;0;0
-1.59;37.01;0;0
-1.59;37.11;0;0
-1.59;37.21;0;0
-1.59;37.31;0;1
-1.59;37.41;1;1
-1.49;35.31;0;1
-1.49;35.41;0;0
-1.49;35.51;0;0
-1.49;35.61;0;0
-1.49;35.71;0;0
-1.49;35.81;0;0
-1.49;35.91;0;0
-1.49;36.01;0;0
-1.49;36.11;0;0
-1.49;36.21;0;0
-1.49;36.31;0;0
-1.49;36.41;0;0
-1.49;36.51;0;0
-1.49;36.61;0;0
-1.49;36.71;0;0
-1.49;36.81;0;0
-1.49;36.91;0;0
-1.49;37.01;0;0
-1.49;37.11;0;0
-1.49;37.21;0;0
-1.49;37.31;0;0
-1.49;37.41;1;1
-1.49;37.51;1;1
-1.39;35.31;1;1
-1.39;35.41;0;0
-1.39;35.51;0;0
-1.39;35.61;0;0
-1.39;35.71;0;0
-1.39;35.81;0;0
-1.39;35.91;0;0
-1.39;36.01;0;0
-1.39;36.11;0;0
-1.39;36.21;0;0
-1.39;36.31;0;0
-1.39;36.41;0;0
-1.39;36.51;0;0
-1.39;36.61;0;0
-1.39;36.71;0;0
